Christian McCaffrey,246.99752787536806,408.7
Ezekiel Elliott,270.0441137856454,305.2
Nick Chubb,178.0888299128427,256.7
Derrick Henry,147.00035638862536,311.1
Michael Thomas,188.3949372491811,269.1
Leonard Fournette,200.18771869867624,222.4
Dalvin Cook,184.29529803445635,278.4
Aaron Jones,161.2048731286412,300.3
Austin Ekeler,148.51074180881608,252.0
Chris Carson,188.10723542324874,232.1
Saquon Barkley,280.60449006276934,219.6
Joe Mixon,206.11763679255523,225.4
Julio Jones,217.5827976533799,211.6
Chris Godwin,121.75354456333159,219.6
Alvin Kamara,241.3362009005294,191.0
Mark Ingram,152.19581365373816,247.0
Le'Veon Bell,274.1463645148133,175.0
Robert Woods,150.61955122394738,172.4
Travis Kelce,163.4932711793068,190.3
Keenan Allen,151.19604385229292,189.5
D.J. Moore,153.78061137529372,174.5
Phillip Lindsay,191.46973061513637,186.2
DeVante Parker,85.87104682689028,203.2
Amari Cooper,152.67230391557607,194.5
Stefon Diggs,159.40209912212075,169.1
Kenny Golladay,155.20783710862895,209.0
Jarvis Landry,138.22071034637582,182.4
DeAndre Hopkins,198.65247512466925,195.3
Marlon Mack,173.1533148962856,199.8
Cooper Kupp,157.07315096986446,196.0
Kenyan Drake,143.02696472503976,191.7
Mike Evans,195.69850463218924,190.7
Darren Waller,47.8237877616417,157.5
Allen Robinson,138.60275118371842,188.4
Julian Edelman,144.5193412443283,172.4
Courtland Sutton,109.89862174737864,170.4
Carlos Hyde,116.94931200654847,167.7
Michael Gallup,88.0203750771941,171.7
George Kittle,171.06749010143344,162.5
Tyler Boyd,155.80031689076662,158.9
John Brown,107.55282993972915,169.2
Devonta Freeman,140.35129822822847,160.6
Todd Gurley,261.8625891056833,213.9
Tyler Lockett,146.1084010314637,177.7
Odell Beckham,201.17746989033026,149.0
Adrian Peterson,157.60107619115712,152.0
Ronald Jones,46.42017458420855,156.3
DJ Chark,57.15834099428031,172.3
Sony Michel,162.49518457574968,169.6
Mike Williams,95.26962630660495,132.8
Davante Adams,173.4394897927835,152.7
Raheem Mostert,54.408257688493876,169.7
Zach Ertz,143.0866216530841,150.6
Melvin Gordon,209.4642474543879,161.8
James White,140.21709775044172,147.8
Calvin Ridley,129.1875156867502,156.5
Tyreek Hill,219.10199438357432,150.3
Latavius Murray,123.69432780965333,146.7
Emmanuel Sanders,138.69633957855956,137.4
Mark Andrews,92.57353453985954,163.2
Randall Cobb,122.39254578171634,118.4
Jamison Crowder,111.11938503063097,140.2
Duke Johnson,112.56290916001387,127.5
Larry Fitzgerald,112.6296005585398,122.4
Christian Kirk,135.82027454547125,115.7
Austin Hooper,95.73523382009637,135.2
Robby Anderson,131.9208228118514,123.8
Marvin Jones,134.00677901474026,152.4
Cole Beasley,87.81449384642576,132.3
Chris Conley,61.22557283135352,125.5
Curtis Samuel,114.31771428206754,139.2
Gus Edwards,148.69794119012676,107.6
Royce Freeman,106.63524151087216,115.2
Matt Breida,157.357316727124,96.8
James Washington,56.29387225748504,105.0
Tyler Higbee,51.643362542953604,109.4
Tevin Coleman,149.0714644548696,131.9
James Conner,202.30551128191746,131.5
David Johnson,185.639360847115,124.0
Jamaal Williams,109.54093448305443,126.8
Damien Williams,75.92836149539559,127.1
Jared Cook,103.55212172588587,140.5
Frank Gore,138.9864128975281,99.4
Golden Tate,117.3988202670636,118.7
Dede Westbrook,117.8902288486442,100.2
Sammy Watkins,126.58206727183499,98.0
DeAndre Washington,56.05025986157317,102.4
Danny Amendola,84.2071909302425,91.8
Will Fuller,146.9972297826605,96.0
Tarik Cohen,165.89175516348678,95.4
Breshad Perriman,76.93955689476753,117.1
Anthony Miller,83.28554783724708,92.5
Hunter Henry,88.02891214392707,111.2
Tyrell Williams,102.227128846145,117.6
Sterling Shepard,134.50324630462444,98.8
LeSean McCoy,154.41070406941463,103.6
Brandin Cooks,176.02916798930352,93.0
Zach Pascal,58.966251672906466,107.3
Dallas Goedert,64.52434597825109,103.2
Corey Davis,131.13834557860895,86.6
Greg Olsen,78.31187449162341,88.7
Jordan Howard,168.80270043408547,116.9
Peyton Barber,130.24826851657207,112.0
Rex Burkhead,81.07242314153775,88.1
Auden Tate,38.785860784294904,76.0
Mike Gesicki,48.484035799485426,97.5
Kenny Stills,96.36412028364128,93.6
JuJu Smith-Schuster,195.04103148985592,82.7
Mohamed Sanu,110.0021253859993,80.6
Kerryon Johnson,201.2677760319957,89.5
Jason Witten,83.65667866244173,88.4
Nyheim Hines,117.53711837889878,77.4
Jonnu Smith,57.699325543929625,78.7
Chris Thompson,109.26901899005799,61.1
John Ross,58.27117809937798,78.0
T.Y. Hilton,183.50447503844543,92.1
Allen Lazard,36.33806865165976,80.3
Alshon Jeffery,150.4473171859051,97.7
Jaylen Samuels,92.22594336926005,72.0
Evan Engram,133.30813815445876,76.9
Jalen Richard,138.72434694387138,55.3
Kareem Hunt,239.02941612268626,74.9
Marquez Valdes-Scantling,103.71210088142806,65.1
O.J. Howard,120.62374060460706,61.4
Russell Gage,33.59590519568384,62.3
Rashaad Penny,98.89134960963841,76.8
Demarcus Robinson,50.365253871052275,78.4
Boston Scott,28.61220712288103,80.4
Jack Doyle,78.64293702580915,81.3
Jimmy Graham,97.02758865328853,72.2
Ted Ginn,92.3778168931994,66.9
J.D. McKissic,50.02721080765282,57.3
Tyler Eifert,98.20298375455923,73.6
Demaryius Thomas,118.67461243751563,60.3
Adam Thielen,163.76388450519198,93.9
Jordan Akins,44.568320308349186,64.3
Phillip Dorsett,61.929564921947566,80.8
Allen Hurns,71.6225615583568,60.6
Chase Edmonds,70.02481614371193,79.3
Gerald Everett,65.68720693621478,63.8
Giovani Bernard,115.24977076319149,44.9
Albert Wilson,120.74737220273218,57.1
Brian Hill,53.99889533661098,68.7
Taysom Hill,35.172732288352165,93.0
Eric Ebron,105.94679816296143,65.5
Adam Humphries,113.51999972354862,57.5
Taylor Gabriel,102.1162069477457,70.3
Dion Lewis,112.4302541993416,47.8
Nelson Agholor,104.60501904153844,60.0
Keelan Cole,86.98617971172635,64.2
Kyle Rudolph,85.75148509822914,84.7
Blake Jarwin,57.96572014587573,61.0
Damiere Byrd,31.067637893293117,47.9
Kendrick Bourne,81.5395144571708,77.3
Jordan Wilkins,85.29992924044082,53.5
Jacob Hollister,30.920420071387234,60.9
Hayden Hurst,46.248322171035475,54.9
Josh Reynolds,65.98486255955686,49.4
Darren Fells,22.596415006833894,87.1
Willie Snead,68.10569708464566,74.1
Tajae Sharpe,67.21231860268226,66.9
David Moore,76.89854607744381,48.1
Nick Boyle,45.82164438688022,50.6
Ryan Griffin,54.92121354547514,71.5
Cameron Brate,59.78728725285742,65.6
Darrel Williams,45.81468204865563,62.3
Isaiah McKenzie,72.05625691262817,44.3
Dare Ogunbowale,28.61220712288103,46.8
Cody Latimer,64.20709533693939,51.5
DaeSean Hamilton,58.350519963567166,45.2
Geronimo Allison,113.08263390748684,45.4
Jonathan Williams,32.67814351875382,43.4
Mike Boone,42.52629640166657,51.5
Mark Walton,41.02135012776761,34.0
Jarius Wright,66.01142624566188,36.9
Marcus Johnson,50.90594431903972,45.7
Vyncint Smith,49.75634489491732,38.7
Vance McDonald,79.94038205933201,49.5
Malcolm Brown,34.81225473420458,65.1
Seth Roberts,75.73111698124961,48.1
Will Dissly,101.26166962860812,55.9
Keke Coutee,123.80154188316718,36.8
Marvin Hall,36.6767278554489,36.3
Bilal Powell,126.02236160257812,32.2
Isaiah Ford,30.553604231497083,34.0
Kyle Juszczyk,53.55259340311284,36.6
Paul Richardson,85.85097515511902,43.0
Malik Turner,31.67919825413773,35.5
C.J. Uzomah,65.8533732274495,42.2
Jeremy Sprinkle,26.75973845430672,34.6
Charles Clay,56.40122622830498,35.7
Tre'Quan Smith,80.8981005767286,61.9
Ricky Seals-Jones,68.80237593082167,49.9
Josh Hill,32.108539734421086,47.1
Tavon Austin,86.354385292573,37.4
Justin Jackson,76.94798236022473,26.7
Jaron Brown,37.40889453319611,37.0
Zay Jones,97.30639634174143,26.9
Jake Kumerow,57.54496057381857,31.9
Tim Patrick,64.56918626684634,28.8
Delanie Walker,94.91518466517962,37.0
Bennie Fowler,52.06113312115977,27.8
Wayne Gallman,70.42799650671449,42.2
Anthony Firkser,58.92238442523063,30.9
Ameer Abdullah,60.454912283359214,28.8
Maxx Williams,42.99486388712935,31.7
Marquise Goodwin,87.39677912370611,31.6
Damion Ratley,45.070801587930106,31.5
Kalen Ballage,85.62401892153702,44.8
Trey Quinn,72.57251732649438,28.8
Chester Rogers,80.03663001672518,33.7
Justin Hardy,36.11981131886222,24.0
Ty Montgomery,102.3917712407821,21.8
Ito Smith,88.8387723123181,31.3
T.J. Yeldon,151.98236094124715,22.2
Cordarrelle Patterson,89.30657549706005,22.1
Javon Wims,37.059039099740616,29.1
Laquon Treadwell,58.05613802372864,28.4
Dontrelle Inman,80.6603670620171,22.6
Brandon Bolden,26.18770739323294,47.4
Logan Thomas,28.18775643263971,28.3
Ben Watson,48.013906644955796,21.8
Rhett Ellison,40.40455994508566,24.7
C.J. Ham,32.17541703887142,24.6
Nick Vannett,49.65740320674044,19.1
DeSean Jackson,147.3806306103051,30.9
Justin Watson,26.669735910970758,32.9
Marcedes Lewis,23.03731661086114,25.6
James O'Shaughnessy,42.87446226859416,30.8
Demetrius Harris,35.20198282530684,37.9
C.J. Prosise,66.46211675378622,22.3
Wendell Smallwood,93.66839394681614,18.5
Jesse James,68.47767497269362,18.2
Dontrell Hilliard,40.71035784181343,25.6
Seth Devalve,36.23778924222516,17.5
Trey Edmunds,43.380009653538664,16.0
Jeff Wilson,135.5939386376604,48.9
Ian Thomas,66.61087110541192,24.6
Derek Carrier,26.911698033242523,22.0
Matt LaCosse,47.197639831233666,22.1
Dan Arnold,52.66840582242027,27.7
Mack Hollins,48.13522121334945,16.0
Vernon Davis,64.01048931099702,20.3
Marcell Ateman,65.99842825466368,11.6
Jeff Heuerman,60.54998453000529,21.9
Devin Smith,33.84500260761246,19.3
Nick O'Leary,34.57947227163865,16.9
Dante Pettis,98.5936945728969,26.4
Brandon Zylstra,19.523517832759232,11.1
Robert Tonyan,28.41177101137056,18.0
Danny Vitale,23.75750329673891,11.5
Mo Alie-Cox,47.12336844524921,11.8
Robert Foster,102.30349404800418,11.3
Ross Dwelley,24.84897038618822,25.1
MyCole Pruitt,28.616624605206162,17.0
Antonio Callaway,106.08488143404901,10.4
Joshua Perkins,33.3795181247022,17.2
Trey Burton,70.60183736269732,10.9
Trent Sherfield,57.06483631969119,10.0
Luke Willson,32.910001341270245,10.4
Virgil Green,32.15489989115727,15.8
KhaDarel Hodge,25.86625876023976,9.1
Adam Shaheen,37.4731847917343,6.9
Spencer Ware,100.24137388867778,7.3
Daniel Brown,28.828437898795833,15.2
Tyler Kroft,36.53356574141222,15.6
Chad Beebe,45.724773746771774,2.0
Blake Bell,29.20985138467723,8.2
Chris Hogan,72.83305776165246,8.2
Devontae Booker,84.0951025190693,7.1
Tra Carson,22.788015797032877,8.1
Rico Gafford,30.553604231497083,13.6
Dwayne Washington,54.066094205625404,7.6
Durham Smythe,30.722344389310678,7.5
Geoff Swaim,58.36978224260584,7.0
Antonio Brown,188.7217679518238,14.1
Clive Walford,34.5052135229395,8.1
Chris Lacy,30.553604231497083,7.0
Ben Braunecker,25.623836773477343,14.4
Tyler Conklin,31.12577656474449,6.8
Zach Line,21.98784667531713,8.6
Rashard Higgins,91.1992955025962,13.0
Luke Stocker,26.093144543460213,4.3
Ross Travis,31.618296013456025,3.5999999999999996
Kenjon Barner,33.01072520694618,-2.0
Lance Kendricks,37.3718746396086,6.5
Deon Yelder,28.61220712288103,6.0
Mike Davis,101.11257849463333,5.4
Taiwan Jones,23.348615064921994,6.4
Deontay Burnett,83.21893015536115,5.3
Patrick DiMarco,19.55683027860531,5.3
Elijhaa Penny,35.122862055782356,5.8
Patrick Ricard,27.040183071688972,12.2
Javorius Allen,76.96310415173562,12.0
C.J. Anderson,103.90001574387013,4.8
Andy Janovich,38.12459878559528,11.3
Derek Watt,28.393038846380378,13.7
David Njoku,98.9643909717663,11.6
Geremy Davis,25.849844513168364,4.3
T.J. Jones,47.22960537912548,4.800000000000001
Paul Perkins,62.29529106971934,5.3
Steven Mitchell,26.67081001426498,4.7
JJ Nelson,57.79766314088921,10.1
Ty Sambrailo,26.67081001426498,10.0
Marshawn Lynch,160.04724920206576,10.4
Troymaine Pope,52.20060899259937,7.9
Jordan Matthews,78.80000208492869,3.8
Devin Funchess,97.55563878718559,4.2
Anthony Sherman,19.9989922379847,5.6
Lee Smith,15.535580634298043,10.1
Jay Ajayi,141.55428641217543,4.5
Travis Benjamin,97.80958378590945,4.5
Johnny Holton,35.113356546697084,4.0
Cody Core,43.46229506655861,3.8
Pharaoh Brown,28.61220712288103,3.2
Andre Roberts,33.89387925730645,1.2000000000000002
Cam Sims,30.553604231497083,3.2
Dalyn Dawkins,26.67081001426498,3.6
Johnny Mundt,21.79654732958651,3.1
Russell Shepard,41.174957146197066,3.0
Michael Crabtree,97.40874183890708,2.2
Chris Moore,44.045910783350315,2.1
Eric Saubert,26.61307172178396,2.6
Keith Smith,20.940260255103468,4.6
Josh Bellamy,56.64305320720919,2.5
Marqise Lee,114.01575798474212,2.9
Donte Moncrief,99.6130985428834,2.3
Alex Armah,22.69572692486257,8.2
Robert Davis,30.553604231497083,2.7
Darius Jennings,33.6002972608448,2.7
Zach Zenner,81.61289450177031,2.7
Samaje Perine,64.48692826532192,2.1
Ryan Grant,55.741773529936324,1.9
Mike Thomas,31.00581325764376,1.9
Cethan Carter,30.553604231497083,8.3
Josh Adams,105.1397115935129,1.7
Sean Culkin,17.711799497434235,1.7
Antony Auclair,25.058043850507154,1.6
Scott Simonson,27.1154257315346,1.6
Buddy Howell,30.553604231497083,1.5
Levine Toilolo,41.83307044022039,1.0
Austin Carr,32.60430106591188,1.4
Josh Ferguson,33.61643744659214,1.4
John Kelly,70.82024256719843,0.9
Ben Koyack,29.033773714459123,0.9
Ricky Ortiz,24.16437806484803,0.8
Jordan Thomas,51.409763595522044,0.8
Chris Herndon,87.06648493353366,0.7
Dalton Schultz,46.04551999207781,0.6
De'Lance Turner,33.516179594894936,0.6
Tyrone Swoopes,53.24339194524696,0.5
Darrell Daniels,29.708300689295136,0.9
Krishawn Hogan,30.553604231497083,0.4
Alfred Morris,100.6070912112231,0.9
Roosevelt Nix,20.774711930516986,0.4
James Develin,18.635602045844088,0.8
Dion Dawkins,21.057012341849322,6.6
David Quessenberry,20.846618688416825,6.6
Eric Tomlinson,27.994173347999805,0.1
