Carries,Yards,Rush TDs,Tgts,Rec,Rec yards,Rec TDs,Fumbles,Past att,Past yds,Past rush TDs,Past tgts,Past rec,Past rec yards,Past rec TDs,Past fumbles,Opp att,Opp yds,Opp rush TDs,Opp tgts,Opp recs,Opp rec yards,Opp rec TDs,Opp fumbles,W12 Actual
0.090909,0.727273,0,8.909091,6.363636,97.36364,0.818182,0,0.696,4.884,0.027,21.525,13.525,171.953,0.935,0.151,0.42,1.08,0,18.33,13.08,181.67,1.17,0.08,37.4
18.72727,86.45455,0.272727,6.363636,5.090909,35.54545,0,0.090909,21.439,90.818,0.633,7.475,6.023,46.725,0.259,0.151,21.18,85.55,0.64,8.55,6.55,49.45,0.27,0.18,36.9
0,0,0,9,5.916667,70.83333,0.416667,0,0.612,4.08,0.036,19.008,11.997,161.037,1.008,0.131,0.27,1.55,0,19.55,13.45,196.64,1.36,0.18,36.8
20.09091,102.0909,1.090909,7.545455,6.181818,53.27273,0.363636,0.090909,21.295,89.488,0.585,7.029,5.454,40.465,0.205,0.143,17.75,62.33,0.33,7.75,6.33,35.25,0.25,0.25,34.3
15.72727,50.63636,0.272727,5.636364,4.636364,33.45455,0.090909,0.090909,21.797,96.555,0.57,6.658,5.016,40.412,0.133,0.187,21.27,87.09,0.45,7.36,5.64,51.18,0.45,0,31.4
18.72727,90.09091,0.909091,1.727273,1.272727,16.63636,0.181818,0.363636,21.517,95.705,0.688,6.841,5.223,39.962,0.231,0.16,21.18,119.09,0.91,5.73,4.55,39.55,0.18,0.18,28.5
0.545455,2.363636,0,10.18182,6.909091,73.54545,0.363636,0.181818,0.578,3.665,0.035,20.098,12.473,163.219,1.123,0.186,0.67,4.08,0,17.67,10.75,136.92,0.67,0,27.4
0,0,0,9.090909,6.090909,64.72727,0.272727,0.090909,0.079,0.287,0,6.869,4.73,50.042,0.321,0.026,0,0,0,9,6.36,67.09,0.45,0.09,27.1
0.083333,-0.75,0,11,9.166667,107.5,0.5,0,0.543,3.06,0.018,20.95,13.179,170.955,1.043,0.124,0.55,4.64,0.09,24.36,15.82,186.27,0.73,0.09,26.1
20.18182,101.5455,0.636364,3.636364,2.727273,20.36364,0,0.272727,20.83,83.073,0.568,6.814,5.069,38.186,0.116,0.179,27.73,129.82,0.73,5.45,4.55,41.64,0.36,0.09,25.4
0.272727,1.545455,0,7.636364,4.545455,75.63636,0.363636,0.090909,0.597,3.625,0.027,18.485,11.723,156.442,0.85,0.08,0.5,3.92,0.08,21.42,12.83,144.92,0.42,0.42,25.1
0.333333,2,0,7,5.777778,74.44444,0.333333,0,0.072,0.401,0,7.156,5.092,59.618,0.572,0.018,0,0,0,7.91,5.73,68.73,0.55,0.09,24.9
13.72727,70.72727,0.818182,1.818182,1.636364,15.36364,0.272727,0.181818,22.536,100.974,0.573,6.753,5.309,46.309,0.243,0.216,25,94,0.64,6.64,4.64,35,0.36,0,24.8
0.090909,-0.18182,0,4.545455,2.818182,52.81818,0.363636,0.090909,0.602,4.546,0.044,19.621,12.446,157.949,0.861,0.095,0.91,6.55,0,19.55,12,162.82,0.73,0.09,23.5
0.181818,1.909091,0,9.727273,6.363636,72.36364,0.363636,0,0.464545,3.147273,0.024545,18.71727,11.53455,158.8982,0.970909,0.094545,0,0,0,0,0,0,0,0,22
0,0,0,5.3,3.2,45.9,0.4,0,0.035,0.135,0,7.536,5.224,58.565,0.489,0.017,0,0,0,4.91,3.64,47.18,0.27,0,21.9
0,0,0,6.444444,3.888889,57.66667,0.666667,0,0.645,3.72,0.009,18.871,11.445,154.327,0.928,0.09,0.27,-0.36,0,20.91,13.45,162.45,1,0.36,21.2
10.25,55.25,0.25,1,1,12,0,0,22.822,100.135,0.622,7.164,5.564,46.393,0.277,0.125,19.64,87.55,0.36,8.27,7.36,61.18,0.36,0,21.1
0,0,0,7.5,5.125,73.75,0.375,0.125,0.649,4.768,0.036,19.564,12.421,164.621,0.845,0.088,0.73,7.45,0.18,18.18,12.36,162.64,0.82,0,21
9,39.72727,0.090909,3.272727,2.454545,30.63636,0.090909,0.181818,21.958,90.335,0.657,7.15,5.356,42.369,0.188,0.164,18.45,75.18,0.82,6.55,5.27,43,0.09,0.27,20.4
0,0,0,6.75,4.583333,52.91667,0.416667,0,0.6,3.911,0.036,19.537,11.954,157.882,1.136,0.099,0.55,6.91,0,16.64,10.27,129.36,0.73,0,19.6
0,0,0,9.857143,6.571429,82.85714,0.142857,0,0.507,3.625,0.036,19.184,12.028,156.052,0.898,0.086,1.18,8.45,0.09,18.73,10.55,119.36,0.82,0.36,19.3
12.5,58.7,0.1,7.6,6.4,44.4,0.1,0.3,21.193,85.536,0.616,7.104,5.57,42.078,0.194,0.132,21.64,107,1.45,5.55,4.09,27,0.27,0.09,19.2
0,0,0,9.090909,6.090909,64.72727,0.272727,0.090909,0.079,0.287,0,6.869,4.73,50.042,0.321,0.026,0,0,0,9,6.36,67.09,0.45,0.09,19.1
0,0,0,5,2.6,46.7,0.2,0.1,0.673,4.392,0.036,19.473,11.845,150.372,0.802,0.162,1.55,6.73,0,15.45,10.09,160.82,0.82,0.09,18.8
0,0,0,5.272727,2.636364,40.45455,0.272727,0,0.553,4.593,0.053,19.437,11.567,148.449,0.845,0.132,0.45,3.73,0.09,18.36,11.55,180.45,1.18,0.09,18.6
0,0,0,8.272727,5.727273,75.72727,0.363636,0,0.064545,0.237273,0,6.969091,4.702727,51.25818,0.375455,0.024545,0,0,0,0,0,0,0,0,17.3
18.91667,82.5,0.583333,4.166667,3.25,27.16667,0.083333,0.25,22.974,94.378,0.681,6.89,5.332,43.041,0.2,0.157,18.18,78.27,0.09,6.09,4.18,30.45,0,0.36,16.6
0.272727,2.727273,0,5.909091,4.181818,80,0.454545,0.363636,0.473636,3.351818,0.032727,18.32091,11.57,159.7955,0.963636,0.101818,0,0,0,0,0,0,0,0,15.8
14.75,57.625,0.25,6.125,4.375,32.375,0.125,0.125,21.351,85.603,0.564,7.14,5.403,43.506,0.199,0.183,23.33,84.92,0.83,7.92,6.17,42.33,0.08,0.08,15.7
10.81818,43.09091,0.454545,2.363636,1.909091,19.81818,0,0.090909,21.087,87.539,0.721,6.743,5.248,37.396,0.212,0.158,22.67,90.33,0.58,6.83,5.08,36.92,0.25,0.08,15.7
0.083333,-0.08333,0,3.75,2.5,23.75,0.083333,0.083333,0.644,4.152,0.045,20.94,13.321,171.218,1.008,0.098,0.82,5.91,0.09,25.64,15.55,206.09,1.64,0.18,15.6
0.090909,0.181818,0,3,2.090909,25.18182,0.363636,0,0.645,3.72,0.009,18.871,11.445,154.327,0.928,0.09,0.27,-0.36,0,20.91,13.45,162.45,1,0.36,15.4
0,0,0,7.545455,4.181818,63.18182,0.363636,0,0.54,4.11,0.052,19.579,12.031,147.449,0.724,0.201,0.82,5.09,0,20,11.82,147.18,0.91,0.09,15.1
7.6,33.6,0.1,3.7,3.2,20.1,0.5,0,22.135,93.285,0.741,7.137,5.37,44.537,0.281,0.13,19.55,84.73,0.27,5.55,4.09,26.82,0,0.27,15
0.4,2,0,7,4.4,48.4,0.1,0.1,0.726,4.669,0.027,19.44,12.157,160.782,0.972,0.053,0.82,3.64,0,20.64,13.18,172.09,0.82,0.09,14.9
0,0,0,3.2,2.1,26.5,0.2,0.1,0.54,4.11,0.052,19.579,12.031,147.449,0.724,0.201,0.82,5.09,0,20,11.82,147.18,0.91,0.09,14.2
0.083333,-0.08333,0,5.25,3.166667,40.75,0,0.083333,0.612,4.08,0.036,19.008,11.997,161.037,1.008,0.131,0.27,1.55,0,19.55,13.45,196.64,1.36,0.18,13.7
0.5,3.7,0.1,5.5,4,52.3,0.2,0.1,0.628,3.629,0.027,20.553,13.173,169.353,1.019,0.144,0.45,1.73,0,16.36,9.73,163.64,0.64,0.09,13
12.77778,49.77778,0.666667,2.888889,2.111111,18.22222,0.111111,0,22.654,94.464,0.664,6.691,5.182,41.201,0.225,0.189,22.82,114.09,1.18,7.45,5.64,41.18,0.09,0.09,12.9
0,0,0,1.75,1.5,4.5,0.25,0,0.087,0.304,0,7.044,4.902,52.652,0.415,0.025,0,0,0,7.92,5.83,56.58,0.33,0,12.7
0.272727,1,0,5.727273,3.818182,57.63636,0.272727,0.181818,0.603,3.662,0.027,19.754,12.523,173.439,1.234,0.14,0.18,5.55,0.09,20.91,10.09,110.64,0.09,0.18,12.6
0.181818,0.454545,0,7.090909,5.363636,64.27273,0.272727,0,0.071,0.334,0,7.468,5.165,54.77,0.328,0.036,0,0,0,5.73,3.82,41.09,0.18,0,12.4
8.833333,38.66667,0.416667,2.75,2.25,13.75,0.083333,0,21.193,85.536,0.616,7.104,5.57,42.078,0.194,0.132,21.64,107,1.45,5.55,4.09,27,0.27,0.09,12.4
3.916667,12.5,0,6.166667,4.5,25.5,0.25,0,22.456,91.851,0.644,7.055,5.369,42.122,0.281,0.139,24.82,102.27,0.73,6.27,5,42.64,0,0.09,12.4
0.142857,2.285714,0,8.142857,5.142857,64.28571,0.571429,0.142857,0.572,3.701,0.035,20.617,12.717,158.914,0.948,0.165,0.25,1.42,0,18.67,11.5,140.42,0.58,0.17,12.3
0,0,0,6.8,4,63.8,0.5,0,0.569,3.916,0.044,19.741,11.962,152.19,0.966,0.167,0.33,1.92,0,23.5,13.75,185.92,1,0.33,12.2
0.181818,0.363636,0,9.454545,6.090909,80,0.454545,0.181818,0.775,5.164,0.027,20.485,12.617,164.326,0.948,0.159,0.55,3.27,0,23.55,14.09,178,0.55,0.36,11.9
0.181818,-0.27273,0,9.181818,5.818182,86.36364,0.363636,0.090909,0.644,4.152,0.045,20.94,13.321,171.218,1.008,0.098,0.82,5.91,0.09,25.64,15.55,206.09,1.64,0.18,11.8
0,0,0,4.545455,2.818182,29.27273,0.090909,0.090909,0.026,0.017,0,6.136,4.246,43.281,0.311,0.017,0.18,2.55,0,5.91,3.73,46.55,0.55,0,11.8
14.33333,49.5,0.416667,2.666667,1.916667,14.41667,0.083333,0.083333,22.456,91.851,0.644,7.055,5.369,42.122,0.281,0.139,24.82,102.27,0.73,6.27,5,42.64,0,0.09,11.6
0,0,0,2.8,1.9,25.3,0,0,0.578,3.665,0.035,20.098,12.473,163.219,1.123,0.186,0.67,4.08,0,17.67,10.75,136.92,0.67,0,11.4
6.125,27,0,0.375,0.25,2.375,0,0,21.4,92.764,0.573,6.146,4.783,37.764,0.198,0.18,25.27,119.64,0.82,5.91,4.91,45.36,0.27,0.27,11.3
0.090909,0.909091,0,8.818182,5.363636,76.63636,0.454545,0,0.56,4.22,0.026,20.635,12.291,151.245,0.752,0.24,0.45,1.55,0,18.36,11.27,163.18,1.73,0,10.8
0,0,0,5.888889,3.444444,51.22222,0.555556,0,0.572,3.701,0.035,20.617,12.717,158.914,0.948,0.165,0.25,1.42,0,18.67,11.5,140.42,0.58,0.17,10.7
0,0,0,1.166667,0.916667,10,0.083333,0,0.071,0.035,0,7.544,5.182,54.823,0.438,0.035,0.18,0,0,6.91,4.91,54.18,0.45,0,10.4
0,0,0,1.181818,0.909091,16.90909,0.090909,0,0.749,4.449,0.018,20.364,12.657,166.329,1.017,0.187,0.73,6.91,0.18,19.55,11.55,166,1.27,0,10.3
0,0,0,3,2.545455,25.63636,0.454545,0,0.062,0.326,0,5.917,4.04,43.504,0.339,0.017,0.09,-0.45,0,7.45,4.64,53.09,0.73,0,10.3
0,0,0,7.083333,3.916667,79.16667,0.75,0.083333,0.463,2.67,0.027,18.361,11.762,159.761,0.961,0.071,0.82,5.18,0.09,16.45,11.82,145.55,1.18,0.18,10.1
0.25,0.625,0,4,2.5,14.625,0.125,0,0.54,4.11,0.052,19.579,12.031,147.449,0.724,0.201,0.82,5.09,0,20,11.82,147.18,0.91,0.09,9.7
18.90909,79.90909,0.363636,3.454545,2.818182,20,0.181818,0.636364,21.315,86.63,0.518,6.549,5.005,37.39,0.194,0.186,19.55,73.09,0.64,8,5.73,43,0.09,0.09,9.7
1.2,7.1,0.1,8,5.1,66.3,0,0,0.775,5.164,0.027,20.485,12.617,164.326,0.948,0.159,0.55,3.27,0,23.55,14.09,178,0.55,0.36,9.6
15.81818,76,0.363636,1,0.545455,2,0,0.363636,20.905,95.721,0.727,6.631,5.134,40.646,0.266,0.132,19.18,77.64,0.27,7.09,5.82,36.55,0.18,0.18,9.5
0.272727,0.909091,0,8.818182,4.909091,70.54545,0.181818,0.090909,0.56,4.22,0.026,20.635,12.291,151.245,0.752,0.24,0.45,1.55,0,18.36,11.27,163.18,1.73,0,9.5
0,0,0,6.181818,4.090909,48.18182,0.181818,0,0.027,0.118,0,7.102,4.853,55.506,0.487,0.018,0.08,0,0,6.33,4.67,48.5,0.25,0.08,9.4
0,0,0,9.545455,5.636364,94.81818,0.636364,0,0.696,4.884,0.027,21.525,13.525,171.953,0.935,0.151,0.42,1.08,0,18.33,13.08,181.67,1.17,0.08,9
0,0,0,5.727273,3,51.63636,0.181818,0,0.726,4.669,0.027,19.44,12.157,160.782,0.972,0.053,0.82,3.64,0,20.64,13.18,172.09,0.82,0.09,8.9
1,12.8,0,8.6,6,56.4,0.2,0,0.572,3.701,0.035,20.617,12.717,158.914,0.948,0.165,0.25,1.42,0,18.67,11.5,140.42,0.58,0.17,8.7
15.81818,54.54545,0.545455,1.363636,0.818182,6.727273,0,0.090909,22.294,89.709,0.65,6.92,5.279,42.624,0.134,0.143,20.75,84.75,0.75,7.83,6,48.25,0.08,0.08,8.5
0,0,0,4.727273,2.818182,34.09091,0.272727,0,0.018,-0.009,0,7.047,4.717,50.725,0.395,0,0,0,0,7.36,4.82,49.91,0.27,0,8.4
0,0,0,1.857143,1.285714,16.42857,0.285714,0,0.543,3.06,0.018,20.95,13.179,170.955,1.043,0.124,0.55,4.64,0.09,24.36,15.82,186.27,0.73,0.09,8.3
0,0,0,4.6,3.1,28.9,0.4,0.2,0.079,0.287,0,6.869,4.73,50.042,0.321,0.026,0,0,0,9,6.36,67.09,0.45,0.09,8.2
3.090909,11.63636,0.090909,3.909091,2.909091,22.90909,0,0,22.822,100.135,0.622,7.164,5.564,46.393,0.277,0.125,19.64,87.55,0.36,8.27,7.36,61.18,0.36,0,8.1
0,0,0,4,2,14,0.5,0,0.578,3.665,0.035,20.098,12.473,163.219,1.123,0.186,0.67,4.08,0,17.67,10.75,136.92,0.67,0,8
0.272727,1.454545,0,9.363636,5.727273,63.54545,0.181818,0.181818,0.559,3.729,0.026,20.843,12.774,163.281,0.807,0.249,0.36,3.18,0,19,11.36,156.36,1.09,0.27,8
0.166667,0,0,7,4.916667,61.75,0.75,0,0.463,2.67,0.027,18.361,11.762,159.761,0.961,0.071,0.82,5.18,0.09,16.45,11.82,145.55,1.18,0.18,7.9
17.66667,78.66667,0.333333,0.333333,0,0,0,0.333333,22.281,94.449,0.695,7.291,5.564,46.168,0.223,0.088,27.45,113.55,0.64,7.09,5.55,45.64,0.18,0.27,7.8
0.083333,0.333333,0,7.75,5.083333,73.5,0.416667,0,0.6,3.911,0.036,19.537,11.954,157.882,1.136,0.099,0.55,6.91,0,16.64,10.27,129.36,0.73,0,7.8
0,0,0,1.636364,1,16.81818,0.181818,0,0.645,3.72,0.009,18.871,11.445,154.327,0.928,0.09,0.27,-0.36,0,20.91,13.45,162.45,1,0.36,7.4
0.181818,0.454545,0,7.090909,5.363636,64.27273,0.272727,0,0.071,0.334,0,7.468,5.165,54.77,0.328,0.036,0,0,0,5.73,3.82,41.09,0.18,0,7.1
